image_path,label_path,has_label,objects,issue_kind,issue_message
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (1).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (1).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (10).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (10).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (100).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (100).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (101).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (101).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (102).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (102).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (103).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (103).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (104).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (104).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (105).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (105).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (106).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (106).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (107).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (107).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (108).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (108).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (109).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (109).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (11).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (11).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (110).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (110).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (111).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (111).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (112).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (112).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (113).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (113).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (114).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (114).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (115).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (115).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (116).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (116).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (117).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (117).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (118).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (118).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (119).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (119).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (12).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (12).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (120).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (120).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (121).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (121).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (122).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (122).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (123).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (123).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (124).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (124).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (125).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (125).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (126).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (126).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (127).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (127).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (128).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (128).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (129).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (129).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (13).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (13).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (130).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (130).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (131).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (131).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (132).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (132).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (133).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (133).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (134).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (134).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (135).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (135).txt,False,0,missing_label,no matching label file
C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan\padat (136).jpg,C:\Users\sunri\Documents\Datasest-Crowd-di-Gerbong-Kereta\data\Gabungan_labels\padat (136).txt,False,0,missing_label,no matching label file
